,0
Packet Length Max,0.1561518334912479
Total Length of Fwd Packet,0.1166966766910194
Idle Max,0.10558254556481025
Packet Length Std,0.06562130788336362
Fwd Packet Length Min,0.06399670741882803
ACK Flag Count,0.05892538007000937
Bwd Packet Length Max,0.05678156806844037
Idle Mean,0.052192877755852664
Fwd Header Length,0.04874407845391583
Dst Port,0.04378985155800473
Flow IAT Min,0.04052406439792271
Total Fwd Packet,0.026381589695399433
Src Port,0.025115013350170565
SYN Flag Count,0.019083129872431468
Flow Duration,0.018806453399328415
FIN Flag Count,0.017116878529874154
RST Flag Count,0.015559901908172646
Protocol,0.014024505058191151
FWD Init Win Bytes,0.013038290594377371
Fwd IAT Min,0.012741875848618989
Total Bwd packets,0.01187362950797176
Bwd Init Win Bytes,0.010277257737528167
Bwd Packets/s,0.006974583144520951
