feature,importance
numeric__processes_malicious,0.32849031750105295
numeric__files_malicious,0.08833504446989059
numeric__registry_total,0.07929514486375545
numeric__registry_read,0.06074421273801673
numeric__processes_monitored,0.04132053454718204
numeric__network_dns,0.03884103359966949
numeric__files_suspicious,0.03383872720029935
numeric__registry_write,0.026604882287734305
numeric__network_connections,0.026343336507381986
numeric__network_http,0.02305808148496366
numeric__files_text,0.02147824793461585
numeric__files_unknown,0.019971760045030994
numeric__total_procsses,0.01674358869131169
categorical__Subsystem_IMAGE_SUBSYSTEM_WINDOWS_CUI,0.009859097729541572
numeric__rdata_VirtualSize,0.008614829672667457
numeric__rdata_SizeOfRawData,0.008359642108058752
numeric__rdata_VirtualAddress,0.007697099713926398
numeric__EntryPoint,0.0076242231843483
numeric__rdata_PointerToRawData,0.007355367400663344
numeric__text_VirtualSize,0.007152564130715034
numeric__AddressOfEntryPoint,0.006622639185419692
numeric__SizeOfImage,0.006453800264067029
numeric__OperatingSystemVersion,0.006410427176119966
numeric__apis,0.0062686155194250056
numeric__text_SizeOfRawData,0.006016430055722761
numeric__SizeOfCode,0.005755958410073906
numeric__SizeOfInitializedData,0.00568173985758046
numeric__address_of_ne_header,0.005658520101021874
categorical__Subsystem_IMAGE_SUBSYSTEM_WINDOWS_GUI,0.005450705064755002
numeric__BaseOfData,0.004793678935669696
categorical__PEType_PE32,0.004699121874549056
numeric__dlls_calls,0.004688066444005048
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.003998479451728075
categorical__Magic_PE32+,0.003484938251153496
numeric__processes_suspicious,0.0032304527979487856
categorical__PEType_PE32+,0.0029725379957770766
numeric__text_PointerToRawData,0.002918512429733443
numeric__Checksum,0.0027846279813985592
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.0026707618041099165
numeric__text_VirtualAddress,0.0026114029536110995
numeric__ImageBase,0.002512500798219246
categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE'],0.0024219596634984693
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.0023570388117702635
numeric__SizeOfUninitializedData,0.002173970899176569
numeric__SizeOfHeaders,0.0021715160220304656
numeric__BaseOfCode,0.0021695373837631116
categorical__MachineType_AMD AMD64,0.0021130974654220065
numeric__SizeofStackCommit,0.001962083425518735
"categorical__MachineType_Intel 386 or later, and compatibles",0.0019514061922779671
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.001908962106434719
numeric__registry_delete,0.0017774810559888338
numeric__SizeofStackReserve,0.0017485905116611617
numeric__FileAlignment,0.0015031175198226077
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.0014778212754404363
numeric__bytes_on_last_page,0.0014484838141412043
numeric__ImageVersion,0.0013530153629312904
numeric__pages_in_file,0.0012185279815954653
numeric__min_extra_paragraphs,0.0012088956055195366
numeric__SectionAlignment,0.001023042602727122
categorical__DllCharacteristics_0,0.0009852727571496433
numeric__over_lay_number,0.0008898686475461297
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0007691477996125809
categorical__Magic_PE32,0.0007612137276830512
"categorical__rdata_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_2BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_512BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.00048290426203060873
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.00046732127926475063
"categorical__text_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0.00038480289241375087
categorical__magic_number_MZ,0.00032565475407659667
categorical__Subsystem_0,0.0002957383833434201
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_SHARED']",0.0002850994846266431
numeric__SizeofHeapReserve,0.00027888173831213954
categorical__rdata_Characteristics_0,0.0002682063060608617
"categorical__text_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_2048BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_8BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0.000263136725642802
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.0002492709208036593
numeric__size_of_header,0.0002236653553223717
numeric__init_sp_value,0.00021789800686066477
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_GUARD_CF', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.00021138108842788723
"categorical__text_Characteristics_['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",0.00021048664393285373
categorical__magic_number_0,0.00020533413834377865
"categorical__rdata_Characteristics_['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_WRITE']",0.00019907733744866244
numeric__oem_identifier,0.000166209096916673
categorical__text_Characteristics_0,0.0001320775143394301
numeric__init_ip_value,0.0001307538979999204
"categorical__rdata_Characteristics_['IMAGE_SCN_ALIGN_1024BYTES', 'IMAGE_SCN_ALIGN_16BYTES', 'IMAGE_SCN_ALIGN_1BYTES', 'IMAGE_SCN_ALIGN_2048BYTES', 'IMAGE_SCN_ALIGN_256BYTES', 'IMAGE_SCN_ALIGN_32BYTES', 'IMAGE_SCN_ALIGN_4096BYTES', 'IMAGE_SCN_ALIGN_4BYTES', 'IMAGE_SCN_ALIGN_64BYTES', 'IMAGE_SCN_ALIGN_8192BYTES', 'IMAGE_SCN_ALIGN_8BYTES', 'IMAGE_SCN_ALIGN_MASK', 'IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.00011625392355618323
"categorical__DllCharacteristics_['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0.00011535515729082019
numeric__SizeofHeapCommit,0.0001145407733172439
categorical__Magic_0,0.00010806942289804826
