feature,missing,unique,q1,q3,lower_bound,upper_bound,outliers_iqr,skewness
files_suspicious,0,801,0.0,1.0,-1.5,2.5,2325,14.636569151823242
network_http,0,91,0.0,0.0,0.0,0.0,2305,43.898648660628105
total_procsses,0,188,34.0,40.0,25.0,49.0,2305,28.860075945102697
files_unknown,0,294,0.0,0.0,0.0,0.0,1952,22.067026633460852
registry_write,0,345,0.0,4.0,-6.0,10.0,1880,35.942610237962626
Checksum,0,3698,0.0,346166.5,-519249.75,865416.25,1776,28.672660961178988
SizeOfImage,0,1923,143360.0,1397760.0,-1738240.0,3279360.0,1711,22.2417711723198
rdata_VirtualSize,0,3561,5006.0,63006.0,-81994.0,150006.0,1658,18.047418951828693
SizeOfInitializedData,0,2336,12288.0,313984.0,-440256.0,766528.0,1612,54.673715835823614
rdata_SizeOfRawData,0,919,4608.0,56832.0,-73728.0,135168.0,1609,15.68008216064065
SizeOfHeaders,0,19,512.0,1024.0,-256.0,1792.0,1554,1.9794220462999654
files_malicious,0,175,0.0,1.0,-1.5,2.5,1547,13.686458070773297
text_PointerToRawData,0,134,512.0,1024.0,-256.0,1792.0,1481,39.928136442821845
network_dns,0,128,0.0,1.0,-1.5,2.5,1472,16.554331409573823
registry_total,0,2737,17.0,958.0,-1394.5,2369.5,1434,35.124136087804125
processes_monitored,0,139,1.0,4.0,-3.5,8.5,1430,39.7530778693547
rdata_VirtualAddress,0,709,32768.0,360448.0,-458752.0,851968.0,1425,6.743262255013291
registry_read,0,2688,16.0,875.5,-1273.25,2164.75,1419,35.53629389288553
rdata_PointerToRawData,0,1585,27648.0,304128.0,-387072.0,718848.0,1397,7.48983676712314
SizeOfUninitializedData,0,361,0.0,0.0,0.0,0.0,1388,73.20857983883742
files_text,0,401,0.0,2.0,-3.0,5.0,1368,13.452582715407827
ImageVersion,216,58,0.0,0.0,0.0,0.0,1350,104.04012847999519
AddressOfEntryPoint,0,6692,13108.0,494790.0,-709415.0,1217313.0,1341,64.79327655082963
processes_suspicious,0,28,0.0,0.0,0.0,0.0,1250,43.696984878031614
EntryPoint,0,6918,13516.0,543972.5,-782168.75,1339657.25,1224,67.4148864735116
FileAlignment,0,7,512.0,512.0,512.0,512.0,1218,2.8742984436380627
SizeofStackReserve,0,33,1048576.0,1048576.0,1048576.0,1048576.0,1210,13.637509279376319
ImageBase,0,75,4194304.0,4194304.0,4194304.0,4194304.0,1179,60.83307261823642
SizeofStackCommit,0,25,4096.0,4096.0,4096.0,4096.0,1175,51.78444190041604
text_VirtualSize,0,6521,33622.0,554472.0,-747653.0,1335747.0,1102,8.08266425117579
text_SizeOfRawData,0,2407,29184.0,509568.0,-691392.0,1230144.0,1096,7.4516726913307325
BaseOfData,0,889,32768.0,516096.0,-692224.0,1241088.0,1095,88.73929932910686
SizeOfCode,0,2632,33792.0,567808.0,-767232.0,1368832.0,1087,83.15536752250514
pages_in_file,0,56,3.0,3.0,3.0,3.0,1009,17.073139101383514
bytes_on_last_page,0,60,144.0,144.0,144.0,144.0,996,19.361005424407132
network_connections,0,195,0.0,4.0,-6.0,10.0,900,57.59937150434313
registry_delete,0,62,0.0,0.0,0.0,0.0,779,44.594720982873916
apis,0,654,1.0,132.0,-195.5,328.5,658,7.092047187751945
min_extra_paragraphs,0,38,0.0,0.0,0.0,0.0,623,17.895356054267822
over_lay_number,0,42,0.0,0.0,0.0,0.0,603,18.673600242967378
BaseOfCode,0,301,4096.0,8192.0,-2048.0,14336.0,595,65.79125513785115
processes_malicious,0,54,0.0,2.0,-3.0,5.0,519,50.175024065490064
init_sp_value,0,40,184.0,184.0,184.0,184.0,478,20.340461148484803
dlls_calls,0,50,1.0,7.0,-8.0,16.0,471,3.26486176049681
size_of_header,0,38,4.0,4.0,4.0,4.0,448,19.827937488532967
text_VirtualAddress,0,130,4096.0,8192.0,-2048.0,14336.0,393,37.11684855575675
SizeofHeapReserve,0,12,1048576.0,1048576.0,1048576.0,1048576.0,389,7.263014057210915
SizeofHeapCommit,0,6,4096.0,4096.0,4096.0,4096.0,380,103.80567981829682
max_extra_paragraphs,0,35,65535.0,65535.0,65535.0,65535.0,328,-5.795866803401225
OperatingSystemVersion,174,15,4.0,5.1,2.3500000000000005,6.749999999999999,291,-1.408064312534752
relocations,0,40,0.0,0.0,0.0,0.0,172,18.631912003487788
oem_identifier,0,39,0.0,0.0,0.0,0.0,132,11.772662632269457
init_ip_value,0,46,0.0,0.0,0.0,0.0,87,17.812804698274267
init_cs_value,0,47,0.0,0.0,0.0,0.0,69,19.01583973884493
init_ss_value,0,35,0.0,0.0,0.0,0.0,56,18.33262073890287
address_of_ne_header,0,65,128.0,248.0,-52.0,428.0,49,4.002585199849244
text_PointerToLineNumbers,0,10,0.0,0.0,0.0,0.0,21,70.36681185807893
text_PointerToRelocations,0,4,0.0,0.0,0.0,0.0,18,28.659961883633127
LoaderFlags,0,4,0.0,0.0,0.0,0.0,5,105.39156321598188
rdata_PointerToRelocations,0,4,0.0,0.0,0.0,0.0,3,80.53745000381561
rdata_PointerToLineNumbers,0,4,0.0,0.0,0.0,0.0,3,105.27219260937783
SectionAlignment,0,6,4096.0,8192.0,-2048.0,14336.0,2,4.690707351095478
network_threats,0,1,0.0,0.0,0.0,0.0,0,0.0
